Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
British Columbia,Canada,2020-03-15T01:53:02,73,1,4,53.7267,-127.6476
Illinois,US,2020-03-15T18:20:19,93,0,2,40.3495,-88.9861
blank,Russia,2020-03-15T18:20:18,63,0,8,61.524,105.3188
Texas,US,2020-03-15T18:20:19,72,0,0,31.0545,-97.5635
Queensland,Australia,2020-03-15T18:20:19,61,0,8,-28.0167,153.4
blank,Chile,2020-03-14T20:33:03,74,0,0,-35.6751,-71.543
blank,Luxembourg,2020-03-15T18:20:18,59,1,0,49.8153,6.1296
blank,Taiwan*,2020-03-15T06:53:03,59,1,20,23.7,121
Victoria,Australia,2020-03-15T18:20:19,57,0,8,-37.8136,144.9631
blank,Vietnam,2020-03-15T18:20:18,56,0,16,14.0583,108.2772
blank,Slovakia,2020-03-15T18:20:18,54,0,0,48.669,19.699
blank,Pakistan,2020-03-15T18:20:18,53,0,2,30.3753,69.3451
blank,South Africa,2020-03-15T18:20:18,51,0,0,-30.5595,22.9375
blank,Brunei,2020-03-15T18:20:18,50,0,0,4.5353,114.7277
blank,Croatia,2020-03-15T18:20:18,49,0,1,45.1,15.2
blank,Algeria,2020-03-15T18:20:18,48,4,12,28.0339,1.6596
Pennsylvania,US,2020-03-14T18:53:03,66,0,0,40.5908,-77.2098
blank,Serbia,2020-03-14T22:53:02,48,0,0,44.0165,21.0059
Diamond Princess,US,2020-03-10T02:33:04,46,0,0,35.4437,139.638
blank,Argentina,2020-03-15T18:20:18,45,2,1,-38.4161,-63.6167
Virginia,US,2020-03-15T18:20:19,45,1,0,37.7693,-78.17
blank,Bulgaria,2020-03-15T18:20:18,51,2,0,42.7339,25.4858
blank,Panama,2020-03-15T18:20:18,43,1,0,8.538,-80.7821
blank,Peru,2020-03-15T18:20:18,43,0,0,-9.19,-75.0152
blank,Albania,2020-03-15T18:20:18,42,1,0,41.1533,20.1683
blank,Mexico,2020-03-15T18:20:18,41,0,4,23.6345,-102.5528
Alberta,Canada,2020-03-15T01:53:03,39,0,0,53.9333,-116.5765
Oregon,US,2020-03-15T18:20:19,36,1,0,44.572,-122.0709
Minnesota,US,2020-03-15T18:20:19,35,0,0,45.6945,-93.9002
blank,Colombia,2020-03-15T18:20:18,34,0,0,4.5709,-74.2973
Michigan,US,2020-03-15T18:20:19,33,0,0,43.3266,-84.5361
blank,Hungary,2020-03-15T18:20:18,32,1,1,47.1625,19.5033
North Carolina,US,2020-03-15T18:20:19,33,0,0,35.6301,-79.8064
Tennessee,US,2020-03-14T22:33:04,39,0,0,35.7478,-86.6923
Maryland,US,2020-03-15T18:20:19,32,0,0,39.0639,-76.8021
blank,Georgia,2020-03-14T12:33:03,33,0,0,42.3154,43.3569
blank,Latvia,2020-03-15T18:20:18,30,0,1,56.8796,24.6032
Ohio,US,2020-03-15T18:20:19,37,0,0,40.3888,-82.7649
blank,Ecuador,2020-03-14T22:53:02,28,2,0,-1.8312,-78.1834
blank,Morocco,2020-03-15T18:20:18,28,1,1,31.7917,-7.0926
Wisconsin,US,2020-03-15T18:20:19,32,0,1,44.2685,-89.6165
blank,Belarus,2020-03-13T22:21:59,27,0,3,53.7098,27.9534
blank,Costa Rica,2020-03-15T18:20:18,27,0,0,9.7489,-83.7534
blank,Cyprus,2020-03-14T22:53:02,26,0,0,35.1264,33.4299
Quebec,Canada,2020-03-15T01:53:02,24,0,0,52.9399,-73.5491
Connecticut,US,2020-03-15T18:20:19,24,0,0,41.5978,-72.7554
Utah,US,2020-03-15T18:20:19,28,0,0,40.15,-111.8624
blank,Armenia,2020-03-15T18:20:18,26,0,0,40.0691,45.0382
blank,Bosnia and Herzegovina,2020-03-15T18:20:18,24,0,0,43.9159,17.6791
blank,Malta,2020-03-15T18:20:18,21,0,1,35.9375,14.3754
Grand Princess,US,2020-03-10T02:33:04,21,0,0,37.6489,-122.6655
Nevada,US,2020-03-14T22:33:03,24,0,0,38.3135,-117.0554
South Australia,Australia,2020-03-15T18:20:19,20,0,3,-34.9285,138.6007
blank,Oman,2020-03-15T18:20:18,22,0,9,21.4735,55.9754
Indiana,US,2020-03-15T18:20:19,20,0,0,39.8494,-86.2583
Rhode Island,US,2020-03-14T18:53:03,20,0,0,41.6809,-71.5118
South Carolina,US,2020-03-14T22:33:03,28,0,0,33.8569,-80.945
Qinghai,China,2020-03-11T02:18:14,18,0,18,35.7452,95.9956
blank,Tunisia,2020-03-14T20:53:02,18,0,0,33.8869,9.5375
Iowa,US,2020-03-15T18:20:19,18,0,0,42.0115,-93.2105
Kentucky,US,2020-03-15T02:53:02,20,0,0,37.6681,-84.6701
Western Australia,Australia,2020-03-14T13:33:04,17,1,0,-31.9505,115.8605
Nebraska,US,2020-03-15T18:20:19,17,0,0,41.1254,-98.2681
blank,Afghanistan,2020-03-15T18:20:18,16,0,0,33.9391,67.71
Arkansas,US,2020-03-15T18:20:19,16,0,0,34.9697,-92.3731
District of Columbia,US,2020-03-15T02:53:03,16,0,0,38.8974,-77.0268
blank,Azerbaijan,2020-03-13T12:13:36,23,1,6,40.1431,47.5769
blank,North Macedonia,2020-03-13T23:33:05,14,0,1,41.6086,21.7453
blank,Maldives,2020-03-15T18:20:18,13,0,0,3.2028,73.2207
New Mexico,US,2020-03-15T02:53:03,13,0,0,34.8405,-106.2485
blank,Lithuania,2020-03-15T18:20:18,12,0,1,55.1694,23.8813
blank,Moldova,2020-03-14T20:53:02,23,0,0,47.4116,28.3699
Alabama,US,2020-03-15T18:20:19,12,0,0,32.3182,-86.9023
Arizona,US,2020-03-14T18:13:23,13,0,1,33.7298,-111.4312
Faroe Islands,Denmark,2020-03-15T18:20:19,11,0,0,61.8926,-6.9118
blank,Dominican Republic,2020-03-14T20:53:02,11,0,0,18.7357,-70.1627
blank,Sri Lanka,2020-03-15T18:20:18,18,0,1,7.8731,80.7718
blank,Bolivia,2020-03-14T12:53:07,10,0,0,-16.2902,-63.5887
Macau,China,2020-03-11T18:52:03,10,0,10,22.1667,113.55
blank,Senegal,2020-03-13T23:33:05,24,0,1,14.4974,-14.4524
blank,Martinique,2020-03-14T14:53:04,9,0,0,14.6415,-61.0242
South Dakota,US,2020-03-14T16:53:03,9,1,0,44.2998,-99.4388
blank,Jamaica,2020-03-13T22:22:02,10,0,0,18.1096,-77.2975
blank,Kazakhstan,2020-03-15T18:20:18,9,0,0,48.0196,66.9237
blank,New Zealand,2020-03-15T18:20:18,8,0,0,-40.9006,174.886
Kansas,US,2020-03-14T22:33:03,8,1,0,38.5266,-96.7265
blank,Venezuela,2020-03-15T18:20:18,10,0,0,6.4238,-66.5897
blank,Cambodia,2020-03-14T12:53:07,7,0,1,12.5657,104.991
blank,Jordan,2020-03-15T18:20:18,8,0,1,30.5852,36.2384
blank,Reunion,2020-03-15T18:20:19,7,0,0,-21.1151,55.5364
Montana,US,2020-03-15T18:20:19,7,0,0,46.9219,-110.4544
New Hampshire,US,2020-03-14T16:53:03,13,0,0,43.4525,-71.5639
Tasmania,Australia,2020-03-15T18:20:19,6,0,0,-41.4545,145.9707
blank,Ghana,2020-03-15T18:20:18,6,0,0,7.9465,-1.0232
blank,Paraguay,2020-03-13T23:33:06,6,0,0,-23.4425,-58.4438
blank,Turkey,2020-03-15T18:20:18,6,0,0,38.9637,35.2433
Delaware,US,2020-03-14T18:13:20,7,0,0,39.3185,-75.5071
Hawaii,US,2020-03-15T18:20:19,6,0,0,21.0943,-157.4983
Maine,US,2020-03-15T18:20:19,12,0,0,44.6939,-69.3819
Mississippi,US,2020-03-14T16:53:03,10,0,0,32.7416,-89.6787
blank,Bangladesh,2020-03-15T18:20:18,5,0,0,23.685,90.3563
French Guiana,France,2020-03-15T06:53:03,7,0,0,3.9339,-53.1258
Idaho,US,2020-03-15T18:20:19,5,0,0,44.2405,-114.4788
Missouri,US,2020-03-15T18:20:19,5,0,0,38.4561,-92.2884
Vermont,US,2020-03-14T22:33:04,8,0,0,44.0459,-72.7107
Manitoba,Canada,2020-03-14T00:13:05,4,0,0,53.7609,-98.8139
blank,Cuba,2020-03-13T23:53:02,4,0,0,21.5218,-77.7812
blank,Guyana,2020-03-15T18:20:19,4,1,0,4.8604,-58.9302
blank,Liechtenstein,2020-03-14T20:53:02,4,0,0,47.166,9.5554
Oklahoma,US,2020-03-14T16:53:03,7,0,0,35.5653,-96.9289
blank,Uruguay,2020-03-14T16:33:03,4,0,0,-32.5228,-55.7658
French Polynesia,France,2020-03-15T18:20:19,3,0,0,-17.6797,-149.4068
blank,Honduras,2020-03-15T18:20:19,3,0,0,15.2,-86.2419
